Id,ContractNumber,Name,AccountId,OwnerId,Status,StartDate,EndDate,Brand__c,GrandTotal,TotalPrice,Discount,MarketingModel__c,IsDeleted,CreatedDate,LastModifiedDate
800000000000000001,ARCO-2023-00001,Contrato ARCO-2023-00001,001Qs000000000000332,005Qs000000000000003,Activated,2023-06-27,2023-10-04,NSE,58364.19,67000.56,0.1289,Franquia,false,2023-01-25 00:00:00,2025-08-22 00:00:00
800000000000000002,ARCO-2024-00002,Contrato ARCO-2024-00002,001Qs000000000000129,005Qs000000000000033,Activated,2024-03-04,2024-07-14,NSE,117013.99,127744.53,0.084,Direto,false,2024-01-27 00:00:00,2024-06-23 00:00:00
800000000000000003,ARCO-2025-00003,Contrato ARCO-2025-00003,001Qs000000000000084,005Qs000000000000032,Activated,2025-05-11,2025-10-08,NSE,122188.84,151505.07,0.1935,Direto,false,2025-01-23 00:00:00,2025-09-12 00:00:00
800000000000000004,ARCO-2024-00004,Contrato ARCO-2024-00004,001Qs000000000000329,005Qs000000000000038,Cancelled,2024-05-03,2024-12-31,Isaac,164177.71,191371.62,0.1421,Parceiro,false,2024-01-29 00:00:00,2024-10-25 00:00:00
800000000000000005,ARCO-2025-00005,Contrato ARCO-2025-00005,001Qs000000000000175,005Qs000000000000024,Activated,2025-02-25,2025-09-17,SAE,77940.29,87879.46,0.1131,Franquia,false,2025-01-11 00:00:00,2025-06-08 00:00:00
800000000000000006,ARCO-2022-00006,Contrato ARCO-2022-00006,001Qs000000000000207,005Qs000000000000022,Activated,2022-05-13,2022-09-29,PGS,49271.05,49884.63,0.0123,Direto,false,2022-03-01 00:00:00,2024-09-02 00:00:00
800000000000000007,ARCO-2025-00007,Contrato ARCO-2025-00007,001Qs000000000000245,005Qs000000000000005,Activated,2025-03-23,2025-09-08,SAE,75273.92,79562.33,0.0539,Parceiro,false,2025-02-07 00:00:00,2025-12-13 00:00:00
800000000000000008,ARCO-2022-00008,Contrato ARCO-2022-00008,001Qs000000000000197,005Qs000000000000013,Activated,2022-01-26,2022-07-31,SAE,18695.49,18912.99,0.0115,Direto,false,2022-02-08 00:00:00,2023-10-15 00:00:00
800000000000000009,ARCO-2023-00009,Contrato ARCO-2023-00009,001Qs000000000000123,005Qs000000000000026,Cancelled,2023-05-20,2023-09-05,PGS,6065.67,6664.11,0.0898,Franquia,false,2023-03-25 00:00:00,2023-04-13 00:00:00
800000000000000010,ARCO-2025-00010,Contrato ARCO-2025-00010,001Qs000000000000322,005Qs000000000000034,Activated,2025-04-12,2025-08-28,NSE,38184.01,49250.63,0.2247,Franquia,false,2025-03-01 00:00:00,2025-11-23 00:00:00
800000000000000011,ARCO-2024-00011,Contrato ARCO-2024-00011,001Qs000000000000094,005Qs000000000000029,Activated,2024-02-18,2024-10-18,NSE,122681.8,155175.56,0.2094,Parceiro,false,2024-02-17 00:00:00,2024-08-21 00:00:00
800000000000000012,ARCO-2023-00012,Contrato ARCO-2023-00012,001Qs000000000000212,005Qs000000000000027,Cancelled,2023-01-03,2023-11-05,PGS,122222.29,163028.27,0.2503,Franquia,false,2023-02-21 00:00:00,2025-05-21 00:00:00
